"","cause_type","create_time","dataset","drop","causal_strength","finish_time","if_bugs","if_finish","if_writeDown","imc_click","imc_sports","task_id","condition_index","effect_type","cause_num","effect_num","rel_type","intvn"
"21","c3","10/1/21 13:24","three_pos_10_2_0_12.csv",0,4,"10/1/21 14:13","0","Finish","0",0,"notlist","DdiXNfbMJEadUnV6pGJz",3,"e1",3,1,"nonVeridical","0"
"22","c2","10/1/21 13:24","three_pos_10_2_0_12.csv",0,4,"10/1/21 14:13","0","Finish","0",0,"notlist","DdiXNfbMJEadUnV6pGJz",3,"e2",2,2,"veridical","1"
"23","c1","10/1/21 13:24","three_pos_10_2_0_12.csv",0,5,"10/1/21 14:13","0","Finish","0",0,"notlist","DdiXNfbMJEadUnV6pGJz",3,"e2",1,2,"nonVeridical","2"
"24","c3","10/1/21 13:24","three_pos_10_2_0_12.csv",0,5,"10/1/21 14:13","0","Finish","0",0,"notlist","DdiXNfbMJEadUnV6pGJz",3,"e2",3,2,"nonVeridical","0"
"25","c2","10/1/21 13:24","three_pos_10_2_0_12.csv",0,5,"10/1/21 14:13","0","Finish","0",0,"notlist","DdiXNfbMJEadUnV6pGJz",3,"e3",2,3,"nonVeridical","1"
"26","c1","10/1/21 13:24","three_pos_10_2_0_12.csv",0,5,"10/1/21 14:13","0","Finish","0",0,"notlist","DdiXNfbMJEadUnV6pGJz",3,"e3",1,3,"nonVeridical","2"
"27","c3","10/1/21 13:24","three_pos_10_2_0_12.csv",0,5,"10/1/21 14:13","0","Finish","0",0,"notlist","DdiXNfbMJEadUnV6pGJz",3,"e3",3,3,"veridical","0"
"28","c2","10/1/21 13:25","three_pos_9_3_3_9.csv",0,2,"10/1/21 13:45","0","Finish","0",1,"","VaAMMLLzvXegWkHLji9t",2,"e1",2,1,"nonVeridical","1"
"29","c1","10/1/21 13:25","three_pos_9_3_3_9.csv",0,4,"10/1/21 13:45","0","Finish","0",1,"","VaAMMLLzvXegWkHLji9t",2,"e1",1,1,"veridical","2"
"30","c3","10/1/21 13:25","three_pos_9_3_3_9.csv",0,3,"10/1/21 13:45","0","Finish","0",1,"","VaAMMLLzvXegWkHLji9t",2,"e1",3,1,"nonVeridical","0"
"31","c2","10/1/21 13:25","three_pos_9_3_3_9.csv",0,5,"10/1/21 13:45","0","Finish","0",1,"","VaAMMLLzvXegWkHLji9t",2,"e2",2,2,"veridical","1"
"32","c1","10/1/21 13:25","three_pos_9_3_3_9.csv",0,6,"10/1/21 13:45","0","Finish","0",1,"","VaAMMLLzvXegWkHLji9t",2,"e2",1,2,"nonVeridical","2"
"33","c3","10/1/21 13:25","three_pos_9_3_3_9.csv",0,8,"10/1/21 13:45","0","Finish","0",1,"","VaAMMLLzvXegWkHLji9t",2,"e2",3,2,"nonVeridical","0"
"34","c2","10/1/21 13:25","three_pos_9_3_3_9.csv",0,5,"10/1/21 13:45","0","Finish","0",1,"","VaAMMLLzvXegWkHLji9t",2,"e3",2,3,"nonVeridical","1"
"35","c1","10/1/21 13:25","three_pos_9_3_3_9.csv",0,3,"10/1/21 13:45","0","Finish","0",1,"","VaAMMLLzvXegWkHLji9t",2,"e3",1,3,"nonVeridical","2"
"36","c3","10/1/21 13:25","three_pos_9_3_3_9.csv",0,7,"10/1/21 13:45","0","Finish","0",1,"","VaAMMLLzvXegWkHLji9t",2,"e3",3,3,"veridical","0"
"37","c2","10/1/21 13:26","three_pos_8_4_0_12.csv",0,6,"10/1/21 13:42","0","Finish","0",1,"","vFBsOHiBWb8xsaayVg7I",2,"e1",2,1,"nonVeridical","1"
"38","c1","10/1/21 13:26","three_pos_8_4_0_12.csv",0,0,"10/1/21 13:42","0","Finish","0",1,"","vFBsOHiBWb8xsaayVg7I",2,"e1",1,1,"veridical","2"
"39","c3","10/1/21 13:26","three_pos_8_4_0_12.csv",0,8,"10/1/21 13:42","0","Finish","0",1,"","vFBsOHiBWb8xsaayVg7I",2,"e1",3,1,"nonVeridical","0"
"40","c2","10/1/21 13:26","three_pos_8_4_0_12.csv",0,6,"10/1/21 13:42","0","Finish","0",1,"","vFBsOHiBWb8xsaayVg7I",2,"e2",2,2,"veridical","1"
"41","c1","10/1/21 13:26","three_pos_8_4_0_12.csv",0,1,"10/1/21 13:42","0","Finish","0",1,"","vFBsOHiBWb8xsaayVg7I",2,"e2",1,2,"nonVeridical","2"
"42","c3","10/1/21 13:26","three_pos_8_4_0_12.csv",0,6,"10/1/21 13:42","0","Finish","0",1,"","vFBsOHiBWb8xsaayVg7I",2,"e2",3,2,"nonVeridical","0"
"43","c2","10/1/21 13:26","three_pos_8_4_0_12.csv",0,2,"10/1/21 13:42","0","Finish","0",1,"","vFBsOHiBWb8xsaayVg7I",2,"e3",2,3,"nonVeridical","1"
"44","c1","10/1/21 13:26","three_pos_8_4_0_12.csv",0,4,"10/1/21 13:42","0","Finish","0",1,"","vFBsOHiBWb8xsaayVg7I",2,"e3",1,3,"nonVeridical","2"
"45","c3","10/1/21 13:26","three_pos_8_4_0_12.csv",0,4,"10/1/21 13:42","0","Finish","0",1,"","vFBsOHiBWb8xsaayVg7I",2,"e3",3,3,"veridical","0"
"46","c2","10/1/21 13:26","three_pos_8_4_0_12.csv",0,4,"10/1/21 13:46","0","Finish","0",0,"","pcH6aUudUdF9fn9SAgKT",3,"e1",2,1,"nonVeridical","1"
"47","c1","10/1/21 13:26","three_pos_8_4_0_12.csv",0,3,"10/1/21 13:46","0","Finish","0",0,"","pcH6aUudUdF9fn9SAgKT",3,"e1",1,1,"veridical","2"
"48","c3","10/1/21 13:26","three_pos_8_4_0_12.csv",0,5,"10/1/21 13:46","0","Finish","0",0,"","pcH6aUudUdF9fn9SAgKT",3,"e1",3,1,"nonVeridical","0"
"49","c2","10/1/21 13:26","three_pos_8_4_0_12.csv",0,4,"10/1/21 13:46","0","Finish","0",0,"","pcH6aUudUdF9fn9SAgKT",3,"e2",2,2,"veridical","1"
"50","c1","10/1/21 13:26","three_pos_8_4_0_12.csv",0,5,"10/1/21 13:46","0","Finish","0",0,"","pcH6aUudUdF9fn9SAgKT",3,"e2",1,2,"nonVeridical","2"
"51","c3","10/1/21 13:26","three_pos_8_4_0_12.csv",0,5,"10/1/21 13:46","0","Finish","0",0,"","pcH6aUudUdF9fn9SAgKT",3,"e2",3,2,"nonVeridical","0"
"52","c2","10/1/21 13:26","three_pos_8_4_0_12.csv",0,3,"10/1/21 13:46","0","Finish","0",0,"","pcH6aUudUdF9fn9SAgKT",3,"e3",2,3,"nonVeridical","1"
"53","c1","10/1/21 13:26","three_pos_8_4_0_12.csv",0,4,"10/1/21 13:46","0","Finish","0",0,"","pcH6aUudUdF9fn9SAgKT",3,"e3",1,3,"nonVeridical","2"
"54","c3","10/1/21 13:26","three_pos_8_4_0_12.csv",0,5,"10/1/21 13:46","0","Finish","0",0,"","pcH6aUudUdF9fn9SAgKT",3,"e3",3,3,"veridical","0"
"55","c1","10/1/21 13:27","three_pos_8_4_0_12.csv",0,5,"10/1/21 13:39","0","Finish","0",1,"","EreFvpJ4MnMyt5GxHSpR",1,"e1",1,1,"veridical","2"
"56","c3","10/1/21 13:27","three_pos_8_4_0_12.csv",0,5,"10/1/21 13:39","0","Finish","0",1,"","EreFvpJ4MnMyt5GxHSpR",1,"e1",3,1,"nonVeridical","0"
"57","c2","10/1/21 13:27","three_pos_8_4_0_12.csv",0,7,"10/1/21 13:39","0","Finish","0",1,"","EreFvpJ4MnMyt5GxHSpR",1,"e1",2,1,"nonVeridical","1"
"58","c1","10/1/21 13:27","three_pos_8_4_0_12.csv",0,6,"10/1/21 13:39","0","Finish","0",1,"","EreFvpJ4MnMyt5GxHSpR",1,"e2",1,2,"nonVeridical","2"
"59","c3","10/1/21 13:27","three_pos_8_4_0_12.csv",0,0,"10/1/21 13:39","0","Finish","0",1,"","EreFvpJ4MnMyt5GxHSpR",1,"e2",3,2,"nonVeridical","0"
"60","c2","10/1/21 13:27","three_pos_8_4_0_12.csv",0,4,"10/1/21 13:39","0","Finish","0",1,"","EreFvpJ4MnMyt5GxHSpR",1,"e2",2,2,"veridical","1"
"61","c1","10/1/21 13:27","three_pos_8_4_0_12.csv",0,4,"10/1/21 13:39","0","Finish","0",1,"","EreFvpJ4MnMyt5GxHSpR",1,"e3",1,3,"nonVeridical","2"
"62","c3","10/1/21 13:27","three_pos_8_4_0_12.csv",0,6,"10/1/21 13:39","0","Finish","0",1,"","EreFvpJ4MnMyt5GxHSpR",1,"e3",3,3,"veridical","0"
"63","c2","10/1/21 13:27","three_pos_8_4_0_12.csv",0,6,"10/1/21 13:39","0","Finish","0",1,"","EreFvpJ4MnMyt5GxHSpR",1,"e3",2,3,"nonVeridical","1"
"64","c3","10/1/21 13:27","three_pos_8_4_0_12.csv",0,2,"10/1/21 13:36","0","Finish","0",1,"","ugShKTiwH9LVOjXTZF9n",1,"e1",3,1,"nonVeridical","0"
"65","c1","10/1/21 13:27","three_pos_8_4_0_12.csv",0,3,"10/1/21 13:36","0","Finish","0",1,"","ugShKTiwH9LVOjXTZF9n",1,"e1",1,1,"veridical","2"
"66","c2","10/1/21 13:27","three_pos_8_4_0_12.csv",0,0,"10/1/21 13:36","0","Finish","0",1,"","ugShKTiwH9LVOjXTZF9n",1,"e1",2,1,"nonVeridical","1"
"67","c3","10/1/21 13:27","three_pos_8_4_0_12.csv",0,1,"10/1/21 13:36","0","Finish","0",1,"","ugShKTiwH9LVOjXTZF9n",1,"e2",3,2,"nonVeridical","0"
"68","c1","10/1/21 13:27","three_pos_8_4_0_12.csv",0,1,"10/1/21 13:36","0","Finish","0",1,"","ugShKTiwH9LVOjXTZF9n",1,"e2",1,2,"nonVeridical","2"
"69","c2","10/1/21 13:27","three_pos_8_4_0_12.csv",0,6,"10/1/21 13:36","0","Finish","0",1,"","ugShKTiwH9LVOjXTZF9n",1,"e2",2,2,"veridical","1"
"70","c3","10/1/21 13:27","three_pos_8_4_0_12.csv",0,7,"10/1/21 13:36","0","Finish","0",1,"","ugShKTiwH9LVOjXTZF9n",1,"e3",3,3,"veridical","0"
"71","c1","10/1/21 13:27","three_pos_8_4_0_12.csv",0,0,"10/1/21 13:36","0","Finish","0",1,"","ugShKTiwH9LVOjXTZF9n",1,"e3",1,3,"nonVeridical","2"
"72","c2","10/1/21 13:27","three_pos_8_4_0_12.csv",0,1,"10/1/21 13:36","0","Finish","0",1,"","ugShKTiwH9LVOjXTZF9n",1,"e3",2,3,"nonVeridical","1"
"73","c3","10/1/21 13:28","three_pos_10_2_0_12.csv",0,4,"10/1/21 13:46","0","Finish","0",0,"running_cycling_skiing","6QLhxKUEHvBYhYgpFmGC",2,"e1",3,1,"nonVeridical","0"
"74","c1","10/1/21 13:28","three_pos_10_2_0_12.csv",0,4,"10/1/21 13:46","0","Finish","0",0,"running_cycling_skiing","6QLhxKUEHvBYhYgpFmGC",2,"e1",1,1,"veridical","2"
"75","c2","10/1/21 13:28","three_pos_10_2_0_12.csv",0,6,"10/1/21 13:46","0","Finish","0",0,"running_cycling_skiing","6QLhxKUEHvBYhYgpFmGC",2,"e1",2,1,"nonVeridical","1"
"76","c3","10/1/21 13:28","three_pos_10_2_0_12.csv",0,6,"10/1/21 13:46","0","Finish","0",0,"running_cycling_skiing","6QLhxKUEHvBYhYgpFmGC",2,"e2",3,2,"nonVeridical","0"
"77","c1","10/1/21 13:28","three_pos_10_2_0_12.csv",0,5,"10/1/21 13:46","0","Finish","0",0,"running_cycling_skiing","6QLhxKUEHvBYhYgpFmGC",2,"e2",1,2,"nonVeridical","2"
"78","c2","10/1/21 13:28","three_pos_10_2_0_12.csv",0,4,"10/1/21 13:46","0","Finish","0",0,"running_cycling_skiing","6QLhxKUEHvBYhYgpFmGC",2,"e2",2,2,"veridical","1"
"79","c3","10/1/21 13:28","three_pos_10_2_0_12.csv",0,6,"10/1/21 13:46","0","Finish","0",0,"running_cycling_skiing","6QLhxKUEHvBYhYgpFmGC",2,"e3",3,3,"veridical","0"
"80","c1","10/1/21 13:28","three_pos_10_2_0_12.csv",0,5,"10/1/21 13:46","0","Finish","0",0,"running_cycling_skiing","6QLhxKUEHvBYhYgpFmGC",2,"e3",1,3,"nonVeridical","2"
"81","c2","10/1/21 13:28","three_pos_10_2_0_12.csv",0,5,"10/1/21 13:46","0","Finish","0",0,"running_cycling_skiing","6QLhxKUEHvBYhYgpFmGC",2,"e3",2,3,"nonVeridical","1"
"82","c2","10/1/21 13:28","three_pos_8_4_0_12.csv",0,7,"10/1/21 13:40","0","Finish","0",1,"","xTk4rMDTU7vmRe5ChJjE",3,"e1",2,1,"nonVeridical","1"
"83","c3","10/1/21 13:28","three_pos_8_4_0_12.csv",0,8,"10/1/21 13:40","0","Finish","0",1,"","xTk4rMDTU7vmRe5ChJjE",3,"e1",3,1,"nonVeridical","0"
"84","c1","10/1/21 13:28","three_pos_8_4_0_12.csv",0,10,"10/1/21 13:40","0","Finish","0",1,"","xTk4rMDTU7vmRe5ChJjE",3,"e1",1,1,"veridical","2"
"85","c2","10/1/21 13:28","three_pos_8_4_0_12.csv",0,9,"10/1/21 13:40","0","Finish","0",1,"","xTk4rMDTU7vmRe5ChJjE",3,"e2",2,2,"veridical","1"
"86","c3","10/1/21 13:28","three_pos_8_4_0_12.csv",0,9,"10/1/21 13:40","0","Finish","0",1,"","xTk4rMDTU7vmRe5ChJjE",3,"e2",3,2,"nonVeridical","0"
"87","c1","10/1/21 13:28","three_pos_8_4_0_12.csv",0,9,"10/1/21 13:40","0","Finish","0",1,"","xTk4rMDTU7vmRe5ChJjE",3,"e2",1,2,"nonVeridical","2"
"88","c2","10/1/21 13:28","three_pos_8_4_0_12.csv",0,10,"10/1/21 13:40","0","Finish","0",1,"","xTk4rMDTU7vmRe5ChJjE",3,"e3",2,3,"nonVeridical","1"
"89","c3","10/1/21 13:28","three_pos_8_4_0_12.csv",0,10,"10/1/21 13:40","0","Finish","0",1,"","xTk4rMDTU7vmRe5ChJjE",3,"e3",3,3,"veridical","0"
"90","c1","10/1/21 13:28","three_pos_8_4_0_12.csv",0,8,"10/1/21 13:40","0","Finish","0",1,"","xTk4rMDTU7vmRe5ChJjE",3,"e3",1,3,"nonVeridical","2"
"91","c1","10/1/21 13:29","three_pos_9_3_3_9.csv",0,7,"10/1/21 13:44","0","Finish","0",1,"","hgOQyJIQAnySyTE5Wm2B",2,"e1",1,1,"veridical","2"
"92","c2","10/1/21 13:29","three_pos_9_3_3_9.csv",0,9,"10/1/21 13:44","0","Finish","0",1,"","hgOQyJIQAnySyTE5Wm2B",2,"e1",2,1,"nonVeridical","1"
"93","c3","10/1/21 13:29","three_pos_9_3_3_9.csv",0,8,"10/1/21 13:44","0","Finish","0",1,"","hgOQyJIQAnySyTE5Wm2B",2,"e1",3,1,"nonVeridical","0"
"94","c1","10/1/21 13:29","three_pos_9_3_3_9.csv",0,4,"10/1/21 13:44","0","Finish","0",1,"","hgOQyJIQAnySyTE5Wm2B",2,"e2",1,2,"nonVeridical","2"
"95","c2","10/1/21 13:29","three_pos_9_3_3_9.csv",0,7,"10/1/21 13:44","0","Finish","0",1,"","hgOQyJIQAnySyTE5Wm2B",2,"e2",2,2,"veridical","1"
"96","c3","10/1/21 13:29","three_pos_9_3_3_9.csv",0,8,"10/1/21 13:44","0","Finish","0",1,"","hgOQyJIQAnySyTE5Wm2B",2,"e2",3,2,"nonVeridical","0"
"97","c1","10/1/21 13:29","three_pos_9_3_3_9.csv",0,4,"10/1/21 13:44","0","Finish","0",1,"","hgOQyJIQAnySyTE5Wm2B",2,"e3",1,3,"nonVeridical","2"
"98","c2","10/1/21 13:29","three_pos_9_3_3_9.csv",0,5,"10/1/21 13:44","0","Finish","0",1,"","hgOQyJIQAnySyTE5Wm2B",2,"e3",2,3,"nonVeridical","1"
"99","c3","10/1/21 13:29","three_pos_9_3_3_9.csv",0,3,"10/1/21 13:44","0","Finish","0",1,"","hgOQyJIQAnySyTE5Wm2B",2,"e3",3,3,"veridical","0"
"100","c1","10/1/21 13:30","three_pos_10_2_0_12.csv",0,4,"10/1/21 13:44","0","Finish","0",1,"","GhtEAunRrQN8J9t8ow5m",1,"e1",1,1,"veridical","2"
"101","c2","10/1/21 13:30","three_pos_10_2_0_12.csv",0,4,"10/1/21 13:44","0","Finish","0",1,"","GhtEAunRrQN8J9t8ow5m",1,"e1",2,1,"nonVeridical","1"
"102","c3","10/1/21 13:30","three_pos_10_2_0_12.csv",0,4,"10/1/21 13:44","0","Finish","0",1,"","GhtEAunRrQN8J9t8ow5m",1,"e1",3,1,"nonVeridical","0"
"103","c1","10/1/21 13:30","three_pos_10_2_0_12.csv",0,6,"10/1/21 13:44","0","Finish","0",1,"","GhtEAunRrQN8J9t8ow5m",1,"e2",1,2,"nonVeridical","2"
"104","c2","10/1/21 13:30","three_pos_10_2_0_12.csv",0,7,"10/1/21 13:44","0","Finish","0",1,"","GhtEAunRrQN8J9t8ow5m",1,"e2",2,2,"veridical","1"
"105","c3","10/1/21 13:30","three_pos_10_2_0_12.csv",0,5,"10/1/21 13:44","0","Finish","0",1,"","GhtEAunRrQN8J9t8ow5m",1,"e2",3,2,"nonVeridical","0"
"106","c1","10/1/21 13:30","three_pos_10_2_0_12.csv",0,6,"10/1/21 13:44","0","Finish","0",1,"","GhtEAunRrQN8J9t8ow5m",1,"e3",1,3,"nonVeridical","2"
"107","c2","10/1/21 13:30","three_pos_10_2_0_12.csv",0,5,"10/1/21 13:44","0","Finish","0",1,"","GhtEAunRrQN8J9t8ow5m",1,"e3",2,3,"nonVeridical","1"
"108","c3","10/1/21 13:30","three_pos_10_2_0_12.csv",0,4,"10/1/21 13:44","0","Finish","0",1,"","GhtEAunRrQN8J9t8ow5m",1,"e3",3,3,"veridical","0"
"109","c2","10/1/21 13:30","three_pos_9_3_3_9.csv",0,7,"10/1/21 13:44","0","Finish","0",1,"","SimS0WRnqAYPrY6pXswL",3,"e1",2,1,"nonVeridical","1"
"110","c1","10/1/21 13:30","three_pos_9_3_3_9.csv",0,7,"10/1/21 13:44","0","Finish","0",1,"","SimS0WRnqAYPrY6pXswL",3,"e1",1,1,"veridical","2"
"111","c3","10/1/21 13:30","three_pos_9_3_3_9.csv",0,7,"10/1/21 13:44","0","Finish","0",1,"","SimS0WRnqAYPrY6pXswL",3,"e1",3,1,"nonVeridical","0"
"112","c2","10/1/21 13:30","three_pos_9_3_3_9.csv",0,4,"10/1/21 13:44","0","Finish","0",1,"","SimS0WRnqAYPrY6pXswL",3,"e2",2,2,"veridical","1"
"113","c1","10/1/21 13:30","three_pos_9_3_3_9.csv",0,4,"10/1/21 13:44","0","Finish","0",1,"","SimS0WRnqAYPrY6pXswL",3,"e2",1,2,"nonVeridical","2"
"114","c3","10/1/21 13:30","three_pos_9_3_3_9.csv",0,4,"10/1/21 13:44","0","Finish","0",1,"","SimS0WRnqAYPrY6pXswL",3,"e2",3,2,"nonVeridical","0"
"115","c2","10/1/21 13:30","three_pos_9_3_3_9.csv",0,8,"10/1/21 13:44","0","Finish","0",1,"","SimS0WRnqAYPrY6pXswL",3,"e3",2,3,"nonVeridical","1"
"116","c1","10/1/21 13:30","three_pos_9_3_3_9.csv",0,6,"10/1/21 13:44","0","Finish","0",1,"","SimS0WRnqAYPrY6pXswL",3,"e3",1,3,"nonVeridical","2"
"117","c3","10/1/21 13:30","three_pos_9_3_3_9.csv",0,7,"10/1/21 13:44","0","Finish","0",1,"","SimS0WRnqAYPrY6pXswL",3,"e3",3,3,"veridical","0"
"118","c3","10/1/21 13:31","three_pos_10_2_0_12.csv",0,6,"10/1/21 13:40","0","Finish","0",1,"","9msEL0ZOi5xJuY6xyIAj",3,"e1",3,1,"nonVeridical","0"
"119","c2","10/1/21 13:31","three_pos_10_2_0_12.csv",0,5,"10/1/21 13:40","0","Finish","0",1,"","9msEL0ZOi5xJuY6xyIAj",3,"e1",2,1,"nonVeridical","1"
"120","c1","10/1/21 13:31","three_pos_10_2_0_12.csv",0,5,"10/1/21 13:40","0","Finish","0",1,"","9msEL0ZOi5xJuY6xyIAj",3,"e1",1,1,"veridical","2"
"121","c3","10/1/21 13:31","three_pos_10_2_0_12.csv",0,3,"10/1/21 13:40","0","Finish","0",1,"","9msEL0ZOi5xJuY6xyIAj",3,"e2",3,2,"nonVeridical","0"
"122","c2","10/1/21 13:31","three_pos_10_2_0_12.csv",0,8,"10/1/21 13:40","0","Finish","0",1,"","9msEL0ZOi5xJuY6xyIAj",3,"e2",2,2,"veridical","1"
"123","c1","10/1/21 13:31","three_pos_10_2_0_12.csv",0,7,"10/1/21 13:40","0","Finish","0",1,"","9msEL0ZOi5xJuY6xyIAj",3,"e2",1,2,"nonVeridical","2"
"124","c3","10/1/21 13:31","three_pos_10_2_0_12.csv",0,7,"10/1/21 13:40","0","Finish","0",1,"","9msEL0ZOi5xJuY6xyIAj",3,"e3",3,3,"veridical","0"
"125","c2","10/1/21 13:31","three_pos_10_2_0_12.csv",0,7,"10/1/21 13:40","0","Finish","0",1,"","9msEL0ZOi5xJuY6xyIAj",3,"e3",2,3,"nonVeridical","1"
"126","c1","10/1/21 13:31","three_pos_10_2_0_12.csv",0,7,"10/1/21 13:40","0","Finish","0",1,"","9msEL0ZOi5xJuY6xyIAj",3,"e3",1,3,"nonVeridical","2"
"127","c2","10/1/21 13:32","three_pos_9_3_3_9.csv",0,5,"10/1/21 13:46","0","Finish","0",1,"","GWI5QQien0OkzYXOb4cM",2,"e1",2,1,"nonVeridical","1"
"128","c1","10/1/21 13:32","three_pos_9_3_3_9.csv",0,8,"10/1/21 13:46","0","Finish","0",1,"","GWI5QQien0OkzYXOb4cM",2,"e1",1,1,"veridical","2"
"129","c3","10/1/21 13:32","three_pos_9_3_3_9.csv",0,6,"10/1/21 13:46","0","Finish","0",1,"","GWI5QQien0OkzYXOb4cM",2,"e1",3,1,"nonVeridical","0"
"130","c2","10/1/21 13:32","three_pos_9_3_3_9.csv",0,5,"10/1/21 13:46","0","Finish","0",1,"","GWI5QQien0OkzYXOb4cM",2,"e2",2,2,"veridical","1"
"131","c1","10/1/21 13:32","three_pos_9_3_3_9.csv",0,4,"10/1/21 13:46","0","Finish","0",1,"","GWI5QQien0OkzYXOb4cM",2,"e2",1,2,"nonVeridical","2"
"132","c3","10/1/21 13:32","three_pos_9_3_3_9.csv",0,6,"10/1/21 13:46","0","Finish","0",1,"","GWI5QQien0OkzYXOb4cM",2,"e2",3,2,"nonVeridical","0"
"133","c2","10/1/21 13:32","three_pos_9_3_3_9.csv",0,6,"10/1/21 13:46","0","Finish","0",1,"","GWI5QQien0OkzYXOb4cM",2,"e3",2,3,"nonVeridical","1"
"134","c1","10/1/21 13:32","three_pos_9_3_3_9.csv",0,7,"10/1/21 13:46","0","Finish","0",1,"","GWI5QQien0OkzYXOb4cM",2,"e3",1,3,"nonVeridical","2"
"135","c3","10/1/21 13:32","three_pos_9_3_3_9.csv",0,4,"10/1/21 13:46","0","Finish","0",1,"","GWI5QQien0OkzYXOb4cM",2,"e3",3,3,"veridical","0"
"136","c2","10/1/21 13:32","three_pos_10_2_0_12.csv",0,10,"10/1/21 13:47","0","Finish","0",1,"","cbGgBIeAwLK06Yd7WUC0",1,"e1",2,1,"nonVeridical","1"
"137","c3","10/1/21 13:32","three_pos_10_2_0_12.csv",0,9,"10/1/21 13:47","0","Finish","0",1,"","cbGgBIeAwLK06Yd7WUC0",1,"e1",3,1,"nonVeridical","0"
"138","c1","10/1/21 13:32","three_pos_10_2_0_12.csv",0,7,"10/1/21 13:47","0","Finish","0",1,"","cbGgBIeAwLK06Yd7WUC0",1,"e1",1,1,"veridical","2"
